Job Title,company,description,skills,combined
Financial Analyst,Tech Mahindra,financial analysis investment evaluation portfolio management data analysis,financial analyst investment analyst analyze financial data market trend make informed investment recommendation research assess investment opportunity create financial model provide insight guide investment decision portfolio management financial analysis investment evaluation portfolio management data analysis,
Email Marketing Specialist,Tech Mahindra,email marketing strategy email marketing platform eg mailchimp hubspot audience segmentation ab testing campaign analytics copywriting htmlcss email marketing automation communication skill data analysis attention detail,email marketing specialist plan execute analyze email marketing campaign engage subscriber increase conversion build brand awareness email marketing strategy email marketing platform eg mailchimp hubspot audience segmentation ab testing campaign analytics copywriting htmlcss email marketing automation communication skill data analysis attention detail,
Environmental Engineer,Google,sustainability practice environmental management system green certification,environmental engineer sustainability specialist promotes sustainability initiative within organization develops sustainability program help reduce environmental impact increasing efficiency sustainability practice environmental management system green certification,
Backend Developer,Accenture,serverside programming language eg java python database management api development,backend developer server developer specializes developing maintaining serverside application system ensuring efficient data processing server functionality serverside programming language eg java python database management api development,
Network Administrator,Microsoft,system administration server maintenance active directory backup recovery cloud computing eg aws azure troubleshooting security best practice collaboration problemsolving attention detail communication skill technical knowledge,network administrator manage maintain organization infrastructure including server hardware software system system administration server maintenance active directory backup recovery cloud computing eg aws azure troubleshooting security best practice collaboration problemsolving attention detail communication skill technical knowledge,
Structural Engineer,Tech Mahindra,engineering design cad software proficiency problemsolving technical knowledge communication skill,structural engineer design engineer creates develops product design specification using engineering principle design software bring innovative product market engineering design cad software proficiency problemsolving technical knowledge communication skill,
Market Research Analyst,Tech Mahindra,market research coordination survey design administration data analysis,market research analyst market research coordinator support market research initiative organizing managing research project data collection analysis effort market research coordination survey design administration data analysis,
Customer Service Representative,Tech Mahindra,customer service call center operation problemsolving skill,customer service representative call center agent handle incoming outgoing customer call providing assistance resolving issue ensuring positive customer experience phone customer service call center operation problemsolving skill,
Customer Support Specialist,IBM,customer relationship management onboarding training customer feedback analysis retention strategy crossselling upselling strong communication empathy customer advocacy,customer support specialist customer success manager focus ensuring customer satisfaction retention build relationship client understand need work maximize value customer receive product service ultimately driving customer success loyalty customer relationship management onboarding training customer feedback analysis retention strategy crossselling upselling strong communication empathy customer advocacy,
Landscape Architect,Microsoft,environmental design principle sustainability concept cad design software,landscape architect design outdoor space park landscape emphasis environmental sustainability environmental design principle sustainability concept cad design software,
Business Analyst,IBM,business process analysis requirement gathering data analysis communication skill,business analyst business analyst bridge gap business need technology solution analyze business process gather requirement create solution align organizational goal business process analysis requirement gathering data analysis communication skill,
Social Medium Manager,Tech Mahindra,social medium analytics tool eg google analytics facebook insight data analysis reporting social medium roi measurement competitive analysis trend identification,social medium manager social medium analyst analyze social medium data metric provide insight recommendation improving social medium strategy track performance identify trend support datadriven decisionmaking social medium analytics tool eg google analytics facebook insight data analysis reporting social medium roi measurement competitive analysis trend identification,
Family Lawyer,Microsoft,child custody law family law legal advocacy negotiation court representation legal research client counseling case preparation,family lawyer child custody lawyer specialize family law focusing case related child custody visitation right represent client court provide legal counsel advocate best interest child custody dispute child custody law family law legal advocacy negotiation court representation legal research client counseling case preparation,
Data Analyst,Google,machine learning algorithm library eg scikitlearn tensorflow pytorch statistical analysis modeling data preprocessing cleaning big data technology eg hadoop spark data visualization strong programming skill python r,data analyst data scientist use expertise data analysis machine learning extract valuable insight prediction data build train model conduct statistical analysis communicate finding drive datadriven decisionmaking organization machine learning algorithm library eg scikitlearn tensorflow pytorch statistical analysis modeling data preprocessing cleaning big data technology eg hadoop spark data visualization strong programming skill python r,
Registered Nurse,Accenture,clinical nursing specialization eg critical care oncology advanced nursing skill patient education,registered nurse clinical nurse specialist advanced practice nurse specializes specific patient population clinical area providing expert care contributing improved patient outcome clinical nursing specialization eg critical care oncology advanced nursing skill patient education,
Chemical Analyst,Microsoft,quality control quality assurance qc testing method compliance standard root cause analysis documentation statistical analysis,chemical analyst role quality control analyst responsible inspecting testing product ensure meet quality standard specification use quality control tool process identify defect document finding recommend improvement role essential maintaining product quality customer satisfaction quality control quality assurance qc testing method compliance standard root cause analysis documentation statistical analysis,
Electrical Engineer,Google,electrical engineering power system analysis renewable energy system control system safety regulation,electrical engineer power system engineer design maintain electrical power system work generation transmission distribution electrical power focusing safety efficiency electrical engineering power system analysis renewable energy system control system safety regulation,
Network Technician,Microsoft,network security cybersecurity intrusion detection security analysis firewall management,network technician network security specialist focus network security implement security measure monitor threat respond security incident protect network integrity network security cybersecurity intrusion detection security analysis firewall management,
Interior Designer,IBM,commercial interior design workplace ergonomics building code regulation knowledge sustainable design principle autocad revit proficiency,interior designer commercial interior designer focus designing interior space business commercial property optimize layout productivity aesthetic commercial interior design workplace ergonomics building code regulation knowledge sustainable design principle autocad revit proficiency,
Substance Abuse Counselor,Tech Mahindra,addiction counseling technique substance abuse treatment counseling ethic,substance abuse counselor addiction counselor provides support therapy individual struggling addiction helping overcome substance abuse develop healthier coping strategy addiction counseling technique substance abuse treatment counseling ethic,
Software Architect,IBM,cloud computing platform aws azure etc cloud security containerization docker kubernetes,software architect cloud architect design manages cloudbased solution optimizing scalability security performance aligning company technology strategy cloud computing platform aws azure etc cloud security containerization docker kubernetes,
Business Analyst,Accenture,data analysis data modeling data visualization sql data tool eg tableau,business analyst data business analyst focus datarelated project collect analyze data identify trend provide insight support datadriven decisionmaking within organization data analysis data modeling data visualization sql data tool eg tableau,
Nurse Manager,Microsoft,nursing management patient care coordination staff supervision compliance healthcare regulation quality improvement leadership skill,nurse manager nursing director oversee nursing department healthcare facility manage nursing staff develop policy procedure ensure delivery highquality patient care adhering regulatory standard nursing management patient care coordination staff supervision compliance healthcare regulation quality improvement leadership skill,
Veterinarian,Google,veterinary medicine small animal care surgery animal diagnostics preventive medicine client communication surgical skill radiology anesthesia laboratory diagnostics compassion empathy problemsolving attention detail,veterinarian small animal veterinarian provides medical care small pet dog cat diagnose illness perform surgery advise pet owner healthcare practice veterinary medicine small animal care surgery animal diagnostics preventive medicine client communication surgical skill radiology anesthesia laboratory diagnostics compassion empathy problemsolving attention detail,
Process Engineer,Tech Mahindra,chemical engineering process design chemical reaction safety protocol laboratory technique problemsolving skill,process engineer chemical engineer design oversee process production chemical related product conduct experiment analyze data develop process optimize production ensure safety minimize environmental impact chemical engineering process design chemical reaction safety protocol laboratory technique problemsolving skill,
Research Analyst,IBM,market research methodology data collection analysis consumer behavior analysis competitor analysis survey design analysis statistical analysis software eg spss sa data visualization trend analysis report writing communication skill attention detail,research analyst market research analyst gather analyzes data provide insight market trend consumer behavior competitive landscape help business make informed decision market research methodology data collection analysis consumer behavior analysis competitor analysis survey design analysis statistical analysis software eg spss sa data visualization trend analysis report writing communication skill attention detail,
Manager,Google,network administration system administration virtualization technology eg vmware hyperv storage management security disaster recovery planning capacity planning monitoring troubleshooting cloud infrastructure eg aws azure vendor management,manager infrastructure manager responsible operation maintenance organization infrastructure including server network data center network administration system administration virtualization technology eg vmware hyperv storage management security disaster recovery planning capacity planning monitoring troubleshooting cloud infrastructure eg aws azure vendor management,
Quality Assurance Analyst,Microsoft,test planning strategy test case design execution defect reporting tracking test automation tool eg selenium appium regression testing,quality assurance analyst qa tester assess software application defect quality issue conduct testing procedure report bug work development team ensure delivery highquality software product test planning strategy test case design execution defect reporting tracking test automation tool eg selenium appium regression testing,
Project Manager,Google,project management team leadership risk management budgeting communication skill,project manager project manager plan execute oversee project define project scope allocate resource manage budget ensure project delivered time within scope also communicate project status risk stakeholder project management team leadership risk management budgeting communication skill,
Account Manager,Tech Mahindra,client relationship management customer service communication skill,account manager build maintain strong client relationship understand need ensure client satisfaction client relationship management customer service communication skill,
Web Developer,TCS,serverside programming eg nodejs python database management eg sql mongodb,web developer backend web developer build maintain serverside logic infrastructure required web application work data storage apis server communication support functionality web application serverside programming eg nodejs python database management eg sql mongodb,
Pharmaceutical Sale Representative,IBM,medical product knowledge understanding healthcare regulation relationship building healthcare professional sale forecasting planning medical sale technique,pharmaceutical sale representative medical sale specialist focus selling medical device pharmaceutical healthcare product healthcare professional institution medical product knowledge understanding healthcare regulation relationship building healthcare professional sale forecasting planning medical sale technique,
Office Manager,Google,office administration calendar management reception duty communication skill record keeping office supply management,office manager office coordinator provide administrative support within office assist task like scheduling recordkeeping communication ensure efficient office operation office administration calendar management reception duty communication skill record keeping office supply management,
Legal Assistant,Tech Mahindra,legal research document drafting case management efiling legal database eg lexisnexis client communication deposition preparation trial support ethic confidentiality attention detail communication skill legal software proficiency,legal assistant assist lawyer legal research document preparation case management law firm legal department legal research document drafting case management efiling legal database eg lexisnexis client communication deposition preparation trial support ethic confidentiality attention detail communication skill legal software proficiency,
Architect,Google,architectural project management construction document building system design coordination client communication,architect project architect lead architectural project concept completion coordinating design team managing budget ensuring compliance regulation architectural project management construction document building system design coordination client communication,
Software Tester,IBM,performance testing methodology load testing tool eg jmeter test script development performance profiling analysis bottleneck identification,software tester performance tester assesses performance scalability software application conduct load stress testing identify bottleneck optimize performance performance testing methodology load testing tool eg jmeter test script development performance profiling analysis bottleneck identification,
Pharmaceutical Sale Representative,Google,sale leadership territory management team management sale data analysis strategic planning execution,pharmaceutical sale representative territory sale manager oversee specific sale territory managing sale team setting goal developing strategy meet sale objective sale leadership territory management team management sale data analysis strategic planning execution,
Support Specialist,Accenture,technical troubleshooting customer service communication ticketing system usage basic knowledge problemsolving criticalthinking skill,support specialist help desk support specialist provide technical assistance support endusers resolving issue ensuring smooth operation technical troubleshooting customer service communication ticketing system usage basic knowledge problemsolving criticalthinking skill,
Teacher,Accenture,special education strategy individualized education plan ieps behavior management technique collaboration support staff special education law regulation knowledge,teacher special education teacher work student disability tailoring instruction meet unique need ensuring access quality education special education strategy individualized education plan ieps behavior management technique collaboration support staff special education law regulation knowledge,
Quality Assurance Analyst,Google,test automation framework tool scripting programming language eg python java continuous integration continuous testing cict test script development maintenance test environment setup management,quality assurance analyst test automation engineer automate testing process using script tool design maintain automated test suite streamline testing effort improve efficiency enhance software quality test automation framework tool scripting programming language eg python java continuous integration continuous testing cict test script development maintenance test environment setup management,
Physician Assistant,Google,surgical procedure technique operating room protocol anesthesia management,physician assistant assist surgeon operating room perform pre postoperative care collaborate surgical procedure surgical procedure technique operating room protocol anesthesia management,
Data Entry Clerk,Tech Mahindra,office management administrative task communication organization,data entry clerk administrative assistant provides administrative support organization including scheduling document management assisting daytoday operation office management administrative task communication organization,
Data Analyst,Google,data quality assessment improvement data profiling validation knowledge data quality tool eg informatica talend data governance principle sql data analysis attention detail data accuracy,data analyst data quality analyst ensure accuracy completeness consistency data within organization develop implement data quality standard perform data validation identify resolve data quality issue maintain data integrity data quality assessment improvement data profiling validation knowledge data quality tool eg informatica talend data governance principle sql data analysis attention detail data accuracy,
Accountant,Tech Mahindra,tax preparation tax planning tax regulation accounting tax software proficiency,accountant tax accountant specialize taxrelated matter prepare tax return assist tax planning ensure compliance tax law regulation stay updated tax code advise organization tax strategy tax preparation tax planning tax regulation accounting tax software proficiency,
Veterinarian,IBM,equine veterinary medicine horse anatomy physiology lameness evaluation equine surgery dentistry horse emergency equine care equine reproductive health compassion empathy client communication problemsolving attention detail,veterinarian equine veterinarian specializes health wellbeing horse diagnose treat equine illness perform surgery provide preventive care horse equine veterinary medicine horse anatomy physiology lameness evaluation equine surgery dentistry horse emergency equine care equine reproductive health compassion empathy client communication problemsolving attention detail,
Investment Banker,Tech Mahindra,investment analysis portfolio management risk assessment,investment banker investment portfolio manager manages investment portfolio making investment decision monitoring performance optimizing asset allocation client organization investment analysis portfolio management risk assessment,
Marketing Director,IBM,brand strategy brand development creative direction brand management market research,marketing director brand director oversee brand management strategy ensure brand consistency guide marketing initiative work enhance brand perception recognition brand strategy brand development creative direction brand management market research,
Operation Manager,Flipkart,operation management strategic planning execution budgeting financial analysis leadership team management process improvement optimization,operation manager operation director oversee daily operation organization develop implement operational strategy manage team work optimize process achieve business goal efficiency operation management strategic planning execution budgeting financial analysis leadership team management process improvement optimization,
Sale Manager,Accenture,key account management relationship building sale negotiation,sale manager manage key client account build strong relationship drive revenue growth key account management relationship building sale negotiation,
Frontend Developer,IBM,web accessibility standard eg wcag assistive technology accessibility testing tool html cs accessibility aria accessible rich internet application user experience ux accessibility usability testing individual disability collaboration attention detail,frontend developer accessibility developer focus making digital product website accessible individual disability ensuring compliance accessibility standard web accessibility standard eg wcag assistive technology accessibility testing tool html cs accessibility aria accessible rich internet application user experience ux accessibility usability testing individual disability collaboration attention detail,
Research Scientist,Accenture,research methodology data analysis literature review synthesis statistical analysis software eg spss r research proposal development strong communication reporting skill,research scientist senior researcher lead research initiative within organization design research project collect analyze data provide insight inform strategic decisionmaking innovation effort research methodology data analysis literature review synthesis statistical analysis software eg spss r research proposal development strong communication reporting skill,
Java Developer,IBM,java programming java framework eg spring objectoriented design code debugging software development problemsolving skill,java developer java software engineer develop maintain software application using java programming language write code debug application collaborate crossfunctional team deliver highquality software solution java programming java framework eg spring objectoriented design code debugging software development problemsolving skill,
Interior Designer,Microsoft,residential interior design space planning color theory selection furniture material selection modeling rendering,interior designer residential interior designer plan design interior space home select furnishing color layout create functional aesthetically pleasing environment residential interior design space planning color theory selection furniture material selection modeling rendering,
Executive Assistant,Google,office administration management budgeting expense tracking team coordination supervision facility management vendor supplier relation,executive assistant office manager oversee daily office operation including supervising staff managing facility ensuring efficient workflow may also handle budgeting resource allocation office policy office administration management budgeting expense tracking team coordination supervision facility management vendor supplier relation,
Hr Manager,IBM,strategic hr planning employee relation talent management hr policy development leadership skill,hr manager human resource director lead hr function including talent acquisition employee development hr strategy promote positive work environment support organizational goal strategic hr planning employee relation talent management hr policy development leadership skill,
Executive Assistant,Tech Mahindra,organizational time management skill calendar appointment management communication correspondence travel coordination discretion confidentiality,executive assistant personal assistant provides administrative support individual executive duty include managing schedule arranging meeting handling correspondence performing various task enhance efficiency organizational time management skill calendar appointment management communication correspondence travel coordination discretion confidentiality,
Pharmaceutical Sale Representative,Google,sale technique strategy relationship building crm software usage product knowledge negotiation closing skill,pharmaceutical sale representative sale representative promote sell product service customer build relationship meet sale target effective communication negotiation sale technique strategy relationship building crm software usage product knowledge negotiation closing skill,
Litigation Attorney,Microsoft,corporate law commercial litigation dispute resolution contract law legal strategy negotiation,litigation attorney corporate litigator specialize corporate law handle legal matter related business merger acquisition contract dispute protect corporate interest corporate law commercial litigation dispute resolution contract law legal strategy negotiation,
Veterinarian,Google,exotic animal medicine exotic animal diagnostics specialized surgical skill avian medicine reptile care amphibian care exotic animal anesthesia compassion empathy client communication problemsolving attention detail,veterinarian provide medical care treatment exotic animal diagnose illness perform surgery educate owner animal care exotic animal medicine exotic animal diagnostics specialized surgical skill avian medicine reptile care amphibian care exotic animal anesthesia compassion empathy client communication problemsolving attention detail,
Marketing Manager,Tech Mahindra,brand strategy development brand identity design brand storytelling marketing campaign brand performance measurement creative thinking strong communication skill,marketing manager brand manager responsible maintaining enhancing brand image reputation develop brand strategy oversee branding campaign ensure brand consistency marketing communication effort brand strategy development brand identity design brand storytelling marketing campaign brand performance measurement creative thinking strong communication skill,
Procurement Specialist,Microsoft,sourcing strategy supplier evaluation market research cost analysis contract negotiation,procurement specialist sourcing analyst research analyze potential supplier evaluate procurement strategy negotiate contract secure costeffective quality supply sourcing strategy supplier evaluation market research cost analysis contract negotiation,
Human Resource Manager,Microsoft,employee conflict resolution hr compliance employee engagement communication skill,human resource manager employee relation specialist focus maintaining positive relationship employee organization address workplace issue conduct investigation mediate conflict promote healthy productive work environment employee conflict resolution hr compliance employee engagement communication skill,
Art Teacher,IBM,artistic skill teaching ability communication skill art history knowledge creativity,art teacher fine art instructor teach various form fine art painting sculpture drawing student guiding developing artistic skill creativity artistic skill teaching ability communication skill art history knowledge creativity,
Public Relation Specialist,Microsoft,brand management public relation brand storytelling influencer marketing medium monitoring,public relation specialist brand pr specialist focus promoting maintaining positive brand image medium relation event communication effort brand management public relation brand storytelling influencer marketing medium monitoring,
Financial Controller,Tech Mahindra,financial management budgeting financial analysis financial reporting risk management financial software eg excel quickbooks strategic planning,financial controller finance manager oversee organization financial operation including budgeting financial reporting investment management analyze financial data make strategic financial decision ensure compliance financial regulation financial management budgeting financial analysis financial reporting risk management financial software eg excel quickbooks strategic planning,
Network Engineer,Juniper,network management troubleshooting network security certification eg ccna,network engineer network administrator manage organization computer network configure monitor maintain network infrastructure ensuring optimal performance security network management troubleshooting network security certification eg ccna,
Environmental Consultant,IBM,environmental impact analysis data collection analysis environmental regulation reporting gi geographic information system technical writing,environmental consultant environmental impact analyst assess environmental consequence project activity conduct study analyze data provide recommendation minimize adverse environmental effect promote sustainable practice environmental impact analysis data collection analysis environmental regulation reporting gi geographic information system technical writing,
Investment Advisor,Tech Mahindra,financial planning investment knowledge relationship management communication skill analytical skill,investment advisor wealth advisor provide financial advice client assess financial goal create investment strategy offer guidance wealth management financial planning financial planning investment knowledge relationship management communication skill analytical skill,
Financial Analyst,IBM,financial planning investment strategy retirement planning tax knowledge,financial analyst financial planner help client achieve financial goal providing personalized financial advice investment strategy assess client financial situation develop financial plan offer recommendation saving investment retirement planning financial planning investment strategy retirement planning tax knowledge,
Aerospace Engineer,Microsoft,system engineering system architecture integration testing troubleshooting technical documentation configuration management,aerospace engineer system engineer design manage complex system infrastructure integrate various component technology ensure optimal system performance reliability system engineering system architecture integration testing troubleshooting technical documentation configuration management,
Procurement Specialist,Accenture,procurement process purchase order management vendor communication data analysis inventory control,procurement specialist procurement coordinator assist procurement activity including vendor communication purchase order processing inventory management procurement process purchase order management vendor communication data analysis inventory control,
Market Research Analyst,Accenture,market research methodology data collection analysis industry knowledge,market research analyst market researcher gather analyzes market data provide insight consumer behavior market trend competitor activity aiding informed business decision market research methodology data collection analysis industry knowledge,
Operation Manager,Flipkart,supply chain logistics management inventory control procurement supplier relationship management data analysis forecasting risk assessment mitigation,operation manager supply chain manager manage endtoend supply chain process procurement distribution optimize logistics reduce cost ensure efficient flow product service meet customer demand supply chain logistics management inventory control procurement supplier relationship management data analysis forecasting risk assessment mitigation,
Marketing Analyst,IBM,data analysis tool eg sql python data visualization tool eg tableau power bi statistical analysis data cleansing transformation data modeling communication data insight problemsolving attention detail business acumen,marketing analyst analyze data set generate insight provide datadriven recommendation inform business decision data analysis tool eg sql python data visualization tool eg tableau power bi statistical analysis data cleansing transformation data modeling communication data insight problemsolving attention detail business acumen,
Procurement Manager,Tech Mahindra,strategic sourcing strategy supplier evaluation selection negotiation skill vendor management cost analysis supply chain management contract management problemsolving attention detail communication skill strategic thinking,procurement manager develop execute sourcing strategy procure good service negotiate contract manage supplier relationship strategic sourcing strategy supplier evaluation selection negotiation skill vendor management cost analysis supply chain management contract management problemsolving attention detail communication skill strategic thinking,
Paralegal,IBM,real estate transaction title search closing process deed preparation contract review communication real estate professional attention detail real estate terminology technology proficiency legal software proficiency legal research skill,paralegal assist real estate transaction including title search closing contract preparation real estate transaction title search closing process deed preparation contract review communication real estate professional attention detail real estate terminology technology proficiency legal software proficiency legal research skill,
Landscape Designer,IBM,landscape architecture site planning plant selection environmental sustainability autocad project management,landscape designer commercial landscape architect design outdoor space commercial property office complex retail center create functional aesthetically pleasing landscape align client goal need landscape architecture site planning plant selection environmental sustainability autocad project management,
Urban Planner,Tech Mahindra,urban planning zoning regulation environmental planning gi proficiency community engagement,urban planner city planner develop implement urban planning strategy work improve community manage resource address issue related land use infrastructure urban planning zoning regulation environmental planning gi proficiency community engagement,
Web Designer,Google,frontend web development htmlcss responsive design user interface ui design adobe creative suite collaboration skill,web designer frontend web designer create visual element user interface website use html cs javascript design responsive userfriendly web page ensuring seamless visually appealing online experience frontend web development htmlcss responsive design user interface ui design adobe creative suite collaboration skill,
Occupational Therapist,Accenture,pediatric assessment evaluation occupational therapy technique child developmental milestone sensory integration therapy pediatric psychology familycentered care individualized treatment plan communication skill pediatric healthcare knowledge,occupational therapist pediatric occupational therapist help child developmental physical challenge improve motor life skill therapy intervention pediatric assessment evaluation occupational therapy technique child developmental milestone sensory integration therapy pediatric psychology familycentered care individualized treatment plan communication skill pediatric healthcare knowledge,
Art Director,Accenture,graphic design typography user interface ui design adobe creative suite proficiency branding visual identity creation,art director visual designer create visual content including graphic illustration layout convey message enhance brand identity graphic design typography user interface ui design adobe creative suite proficiency branding visual identity creation,
Architect,Microsoft,sustainable design principle energy efficiency leed certification green building material environmental impact assessment,architect sustainable design specialist incorporate ecofriendly practice architectural design promoting energy efficiency environmental sustainability sustainable design principle energy efficiency leed certification green building material environmental impact assessment,
Public Relation Specialist,Microsoft,crisis communication planning crisis response medium relation reputation management stakeholder communication,public relation specialist crisis communication manager develop strategy manage respond crisis maintaining organization reputation challenging time crisis communication planning crisis response medium relation reputation management stakeholder communication,
Hr Manager,Microsoft,employment law knowledge compliance management auditing skill employee relation communication skill,hr manager hr compliance specialist ensures adherence employment law regulation conduct audit provides guidance maintain legal compliance within organization employment law knowledge compliance management auditing skill employee relation communication skill,
Social Worker,Tech Mahindra,child welfare policy regulation child protective service child development crisis intervention case management cultural competence interviewing assessment skill court procedure documentation empathy communication skill,social worker work atrisk child family assess need provide support ensure child safety wellbeing child welfare policy regulation child protective service child development crisis intervention case management cultural competence interviewing assessment skill court procedure documentation empathy communication skill,
Account Executive,Tech Mahindra,advertising marketing knowledge client relationship management advertising campaign development budget management medium planning buying,account executive advertising account executive work advertising agency managing client account overseeing creation execution advertising campaign advertising marketing knowledge client relationship management advertising campaign development budget management medium planning buying,
Legal Advisor,Tech Mahindra,inhouse counsel legal advisory employment law intellectual property regulatory compliance dispute resolution contract review client counseling,legal advisor role inhouse counsel provide legal support organization across various area including contract employment law regulatory compliance draft legal document handle litigation matter advise legal risk affecting daytoday operation role crucial ensuring company operates within bound law inhouse counsel legal advisory employment law intellectual property regulatory compliance dispute resolution contract review client counseling,
Civil Engineer,Tech Mahindra,water resource engineering hydrology hydraulics environmental impact assessment water resource modeling software watershed management,civil engineer water resource engineer manages develops waterrelated project dam irrigation system flood control measure ensure water resource sustainability water resource engineering hydrology hydraulics environmental impact assessment water resource modeling software watershed management,
Marketing Coordinator,Microsoft,market research analysis content creation copywriting social medium management seo digital marketing marketing automation tool proficiency,marketing coordinator marketing specialist develop implement marketing campaign analyze market trend promote product service target audience market research analysis content creation copywriting social medium management seo digital marketing marketing automation tool proficiency,
Dental Hygienist,IBM,dental hygiene knowledge teaching instructional skill curriculum development student assessment clinical practice experience,dental hygienist dental hygiene educator teach dental hygiene practice oral health student community promote preventive care raise awareness dental health dental hygiene knowledge teaching instructional skill curriculum development student assessment clinical practice experience,
Office Manager,Accenture,administrative leadership office management staff supervision budgeting financial management process improvement communication skill,office manager administrative manager oversee office operation manage administrative staff coordinate task ensure smooth office functioning support organization goal administrative leadership office management staff supervision budgeting financial management process improvement communication skill,
Sem Specialist,IBM,search engine marketing sem google ad bing ad keyword analysis ad performance analysis sem strategy development bid management,sem specialist sem analyst analyze search engine marketing sem campaign monitor performance optimize keyword strategy provide insight improve effectiveness sem effort search engine marketing sem google ad bing ad keyword analysis ad performance analysis sem strategy development bid management,
Seo Specialist,Tech Mahindra,technical seo audit website crawl analysis schema markup xml sitemaps canonicalization,seo specialist technical seo specialist optimize website infrastructure addressing issue like site speed mobilefriendliness structured data enhance search engine visibility technical seo audit website crawl analysis schema markup xml sitemaps canonicalization,
Event Coordinator,Microsoft,corporate event planning corporate branding messaging speaker entertainment booking audiovisual production team coordination crisis management budgeting financial management client communication creativity problemsolving attention detail,event coordinator coordinate corporate event conference meeting handle logistics ensure seamless experience attendee corporate event planning corporate branding messaging speaker entertainment booking audiovisual production team coordination crisis management budgeting financial management client communication creativity problemsolving attention detail,
Frontend Engineer,Accenture,uiux design frontend web development wireframing prototyping user research accessibility standard responsive design collaboration skill,frontend engineer uiux frontend developer focus creating userfriendly visually appealing interface web mobile application work user experience design responsive layout frontend development optimize user interaction uiux design frontend web development wireframing prototyping user research accessibility standard responsive design collaboration skill,
Pediatrician,Microsoft,pediatric surgery surgical procedure child operating room protocol patient care surgical technique pediatric anesthesia,pediatrician pediatric surgeon specialize performing surgical procedure child including infant adolescent diagnose surgical condition perform surgery collaborate healthcare professional ensure best outcome pediatric surgery surgical procedure child operating room protocol patient care surgical technique pediatric anesthesia,
Executive Assistant,Accenture,project management communication time management organization problemsolving,executive assistant project coordinator assist planning executing monitoring project facilitate communication among team member track project progress ensure task completed time project management communication time management organization problemsolving,
Qa Engineer,Google,quality assurance process improvement team leadership problemsolving quality control,qa engineer qa manager responsible leading managing quality assurance team ensure product quality develop implement qa process maintain quality standard quality assurance process improvement team leadership problemsolving quality control,
Investment Banker,IBM,merger acquisition expertise due diligence valuation technique,investment banker merger acquisition advisor assist evaluating potential merger acquisition conducting due diligence providing strategic recommendation corporate transaction merger acquisition expertise due diligence valuation technique,
Process Engineer,Accenture,industrial engineering process optimization lean manufacturing quality control data analysis workflow design,process engineer industrial engineer focus improving efficiency productivity various industry analyze process design system implement solution streamline operation reduce cost enhance quality industrial engineering process optimization lean manufacturing quality control data analysis workflow design,
Copywriter,Tech Mahindra,seo search engine optimization keyword research seofriendly content onpage optimization meta tag seo tool eg semrush,copywriter seo copywriter specialize creating content optimized search engine incorporate keywords seo best practice improve online visibility search engine ranking web page article seo search engine optimization keyword research seofriendly content onpage optimization meta tag seo tool eg semrush,
Marketing Manager,Tech Mahindra,product positioning messaging market research analysis product launch planning competitive analysis marketing collateral creation pricing strategy crossfunctional collaboration,marketing manager product marketing manager promote market product service create marketing strategy conduct market research develop messaging collaborate crossfunctional team launch promote product effectively market product positioning messaging market research analysis product launch planning competitive analysis marketing collateral creation pricing strategy crossfunctional collaboration,
Data Scientist,Google,machine learning algorithm python programming data preprocessing deep learning model evaluation,data scientist machine learning engineer develop machine learning model algorithm working task like data preprocessing model training deployment machine learning algorithm python programming data preprocessing deep learning model evaluation,
Marketing Coordinator,Accenture,digital marketing strategy development social medium advertising email marketing google analytics seo content management system cm proficiency,marketing coordinator digital marketing coordinator manage online marketing effort including social medium email marketing seo drive digital engagement growth digital marketing strategy development social medium advertising email marketing google analytics seo content management system cm proficiency,
Architect,Microsoft,architectural design software eg autocad revit building code regulation modeling visualization sustainable design,architect architectural designer create architectural plan design building structure considering aesthetic functionality safety standard architectural design software eg autocad revit building code regulation modeling visualization sustainable design,
Software Engineer,Accenture,proficiency html cs javascript experience frontend framework like react angular vuejs responsive web design crossbrowser compatibility version control eg git frontend performance optimization,software engineer frontend developer responsible designing implementing user interface web application collaborate designer create visually appealing responsive web page ensuring seamless user experience across different device browser proficiency html cs javascript experience frontend framework like react angular vuejs responsive web design crossbrowser compatibility version control eg git frontend performance optimization,
Database Administrator,Tech Mahindra,data analysis database querying reporting data visualization sql proficiency data quality assurance,database administrator database analyst examines interprets data stored database generate report identify trend provide insight support business decisionmaking data analysis database querying reporting data visualization sql proficiency data quality assurance,
Seo Specialist,Accenture,content strategy seo content optimization content marketing keyword mapping analytics,seo specialist content seo strategist create seo strategy specifically content focusing keyword integration content quality user engagement boost organic traffic content strategy seo content optimization content marketing keyword mapping analytics,
Customer Service Representative,Accenture,live chat support online customer communication problem resolution,customer service representative live chat support agent provides customer support live chat channel addressing inquiry troubleshooting issue offering timely solution live chat support online customer communication problem resolution,
Legal Counsel,Tech Mahindra,intellectual property law trademark patent law copyright law ip portfolio management litigation dispute resolution,legal counsel intellectual property lawyer specializes protecting managing intellectual property right including patent trademark copyright provide legal advice handle trademark registration patent application enforce ip right intellectual property law trademark patent law copyright law ip portfolio management litigation dispute resolution,
Financial Advisor,Accenture,wealth management strategy asset allocation estate planning tax management client relationship management,financial advisor wealth management advisor provide comprehensive financial planning investment management service highnetworth individual family wealth management strategy asset allocation estate planning tax management client relationship management,
